Dataset,# classes,Window,W_size,W_step,Augment,Noise,MVN LL,MAF LL,MVN ACC,MAF ACC
CARROTS,16,False,0,0,False,False,63.07392938087209,47.17150758201486,0.6006458915967505,0.39382740711146624
CARROTS,16,False,0,0,False,True,56.75940416169885,61.41195648229937,0.5932214675722466,0.6083366626714609
CARROTS,16,False,0,0,True,False,52.14121891175283,53.13100882944373,0.5682847249966707,0.3289053136236516
CARROTS,16,False,0,0,True,True,45.68142370842436,60.81033939285878,0.5102876548142229,0.6275802370488747
CARROTS,16,True,26,13,False,False,2986.2914491696392,2860.815861742424,0.32987012987012987,0.4025974025974026
CARROTS,16,True,26,13,False,True,2016.76399538243,1951.062779863366,0.43982683982683984,0.33766233766233766
CARROTS,16,True,26,13,True,False,1881.089127522174,2965.428416700487,0.43116883116883115,0.4779220779220779
CARROTS,16,True,26,13,True,True,1566.852423255498,1972.038244047619,0.4909090909090909,0.3203463203463203
CARROTS,16,True,8,4,True,False,530.5136011706239,1032.276053459643,0.3758657432072456,0.512519978689398
CARROTS,16,True,64,32,True,False,1375.9667314274216,5491.902185501066,0.12153518123667377,0.4051172707889126
UCIHAR,6,True,0,0,False,False,717.948759028012,749.2362022024516,0.9443501866304717,0.9552086868001357
